"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACCESORIOS","JUEGO TORNILLOS","","","JUEGO DE TORNILLOS 09CH0079","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","JUEGO TORNILLOS","ImbelloniR12","","JUEGO DE TORNILLOS B452100","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039290006","KIT PRECINTOS DE COLORES SURTIDOS","$1.00","5.00%","$5.00","5.00%","$5.00","125","Si"
"ACCESORIOS","SELECTORA","ImbelloniR12","007543","KIT REPARACION SELECTORA AP 7543","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","LIMPIACONTACTOS","ImbelloniR12","","LIMPIA CONTACTO LOCX 91448","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","LIMPIACONTACTOS","","","LIMPIA INYECTORES NAFTA 92540","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","FICHAS","","","MAZO CONEX. BOBINA INDEL 2003-ORO 2003'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","FICHAS","","","MAZO CONEX. BOBINA INDEL 2005-ORO  2005'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","FICHAS","","","MAZO CONEX. BOBINA INDEL 2007-ORO   2007'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","FICHAS","","","MAZO CONEX. BOBINA INDEL 2009-ORO   2009'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","FICHAS","","","MAZO CONEX. BOBINA INDEL 2011-ORO 2011'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","PORTA FUSIBLE AEREO MAXI 1055-ORO  1055'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","PORTA FUSIBLE AEREO MAXI ENCASTRABLE 1056-ORO 1056'oro","$1.00","5.00%","$5.00","5.00%","$5.00","8","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","7990996013173","PORTA MAXIFUSIBLES 1055-ORO","$0.00","5.00%","$0.00","5.00%","$0.00","0","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039297043","PRECINTO 180MM X 4.8MM PTFL3-180-35","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039297029","PRECINTOS 151MM X 3.7","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039292024","PRECINTOS 250MM X 4.6MM PTFL4-250-46N","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039293465","PRECINTOS 300MM X 4.6MM PTFL5-300-46N","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039293762","PRECINTOS 300MM X 7.6MM PTFL6-300-76N","$1.00","5.00%","$5.00","5.00%","$5.00","100","Si"
"ACCESORIOS","PRECINTO","","7798039293540","PRECINTOS 350MM X 4.6MM PTFL7-350-46N","$1.00","5.00%","$5.00","5.00%","$5.00","81","Si"
"ACCESORIOS","PRECINTO","ImbelloniR12","7798039293571","PRECINTOS 350MM X 7.6MM PTFL8-350-76N","$1.00","5.00%","$5.00","5.00%","$5.00","91","Si"
